State name,Population,Male,Female
MAHARASHTRA,3361292,1730075,1631217
MAHARASHTRA,1177345,606294,571051
MAHARASHTRA,1836086,942870,893216
MAHARASHTRA,1959046,1011473,947573
MAHARASHTRA,3701282,1924469,1776813
MAHARASHTRA,6107187,3157186,2950001
MAHARASHTRA,11060148,5865078,5195070
MAHARASHTRA,9356962,5031323,4325639
MAHARASHTRA,3085411,1684608,1400803
MAHARASHTRA,2634200,1344345,1289855
MAHARASHTRA,9429408,4924105,4505303
MAHARASHTRA,4543159,2342825,2200334
MAHARASHTRA,2585049,1349106,1235943
MAHARASHTRA,2454196,1273140,1181056
MAHARASHTRA,1657576,861535,796041
MAHARASHTRA,4317756,2227852,2089904
MAHARASHTRA,3003741,1510842,1492899
MAHARASHTRA,1615069,761121,853948
MAHARASHTRA,849651,417332,432319
MAHARASHTRA,3876001,1980658,1895343
MAHARASHTRA,2822143,1435728,1386415
ANDHRA PRADESH,2741239,1369597,1371642
ANDHRA PRADESH,2551335,1250641,1300694
ANDHRA PRADESH,3776269,1880800,1895469
ANDHRA PRADESH,3033288,1523030,1510258
ANDHRA PRADESH,3943323,2018575,1924748
ANDHRA PRADESH,5296741,2701008,2595733
ANDHRA PRADESH,4053028,2050386,2002642
ANDHRA PRADESH,3488809,1759772,1729037
ANDHRA PRADESH,3512576,1759281,1753295
ANDHRA PRADESH,2797370,1390988,1406382
ANDHRA PRADESH,2703114,1341738,1361376
ANDHRA PRADESH,2344474,1161477,1182997
ANDHRA PRADESH,4290589,2138910,2151679
ANDHRA PRADESH,5154296,2569688,2584608
ANDHRA PRADESH,3936966,1964918,1972048
ANDHRA PRADESH,4517398,2267375,2250023
ANDHRA PRADESH,4887813,2440521,2447292
ANDHRA PRADESH,3397448,1714764,1682684
ANDHRA PRADESH,2963557,1492974,1470583
ANDHRA PRADESH,2882469,1451777,1430692
ANDHRA PRADESH,4053463,2039227,2014236
ANDHRA PRADESH,4081148,2064495,2016653
ANDHRA PRADESH,4174064,2090204,2083860
KARNATAKA,4779661,2423063,2356598
KARNATAKA,1889752,950111,939641
KARNATAKA,2177331,1111022,1066309
KARNATAKA,1703300,870665,832635
KARNATAKA,1928812,964511,964301
KARNATAKA,1389920,699926,689994
KARNATAKA,1064570,537147,527423
KARNATAKA,1847023,937206,909817
KARNATAKA,1437169,726256,710913
KARNATAKA,1597668,819128,778540
KARNATAKA,2452595,1236954,1215641
KARNATAKA,1659456,840843,818613
KARNATAKA,1945497,986400,959097
KARNATAKA,1752753,877415,875338
KARNATAKA,1177361,562131,615230
KARNATAKA,1137961,566622,571339
KARNATAKA,2678980,1350594,1328386
KARNATAKA,9621551,5022661,4598890
KARNATAKA,1805769,905085,900684
KARNATAKA,1776421,883667,892754
KARNATAKA,2089649,1034714,1054935
KARNATAKA,554519,274608,279911
KARNATAKA,3001127,1511600,1489527
KARNATAKA,1020791,512231,508560
KARNATAKA,2566326,1301755,1264571
KARNATAKA,1174271,590329,583942
KARNATAKA,1536401,776396,760005
KARNATAKA,1255104,636437,618667
KARNATAKA,990923,509172,481751
KARNATAKA,1082636,548008,534628
GOA,818008,416677,401331
GOA,640537,322463,318074
LAKSHADWEEP,64473,33123,31350
KERALA,1307375,628613,678762
KERALA,2523003,1181446,1341557
KERALA,817420,401684,415736
KERALA,3086293,1470942,1615351
KERALA,4112920,1960328,2152592
KERALA,2809934,1359478,1450456
KERALA,3121200,1480763,1640437
KERALA,3282388,1619557,1662831
KERALA,1108974,552808,556166
KERALA,1974551,968289,1006262
KERALA,2127789,1013142,1114647
KERALA,1197412,561716,635696
KERALA,2635375,1246968,1388407
KERALA,3301427,1581678,1719749
TAMIL NADU,3728104,1876062,1852042
TAMIL NADU,4646732,2335844,2310888
TAMIL NADU,3998252,2012958,1985294
TAMIL NADU,3936331,1961688,1974643
TAMIL NADU,2464875,1235889,1228986
TAMIL NADU,3458873,1740819,1718054
TAMIL NADU,3482056,1781571,1700485
TAMIL NADU,1726601,869280,857321
TAMIL NADU,2251744,1129868,1121876
TAMIL NADU,735394,360143,375251
TAMIL NADU,2159775,1080938,1078837
TAMIL NADU,1064493,528184,536309
TAMIL NADU,2722290,1352284,1370006
TAMIL NADU,565223,282157,283066
TAMIL NADU,754894,374703,380191
TAMIL NADU,2605914,1311697,1294217
TAMIL NADU,1616450,798127,818323
TAMIL NADU,1264277,626693,637584
TAMIL NADU,2405890,1182416,1223474
TAMIL NADU,1618345,803188,815157
TAMIL NADU,1339101,668672,670429
TAMIL NADU,3038252,1526475,1511777
TAMIL NADU,1245899,625683,620216
TAMIL NADU,1942288,967709,974579
TAMIL NADU,1353445,682658,670787
TAMIL NADU,1750176,865021,885155
TAMIL NADU,3077233,1520912,1556321
TAMIL NADU,1870374,926345,944029
TAMIL NADU,1506843,774303,732540
TAMIL NADU,1879809,960232,919577
TAMIL NADU,3458045,1729297,1728748
TAMIL NADU,2479052,1246159,1232893
PONDICHERRY,55626,27301,28325
PONDICHERRY,950289,468258,482031
PONDICHERRY,41816,19143,22673
PONDICHERRY,200222,97809,102413
ANDAMAN AND NICOBAR ISLANDS,36842,20727,16115
ANDAMAN AND NICOBAR ISLANDS,105597,54861,50736
ANDAMAN AND NICOBAR ISLANDS,238142,127283,110859
